  PID  TT  STAT      TIME COMMAND
39325  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
39326  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
39338  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
39339  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
39340  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
39364  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
39365  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
39366  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
39367  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
39381  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
39382  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
39413  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
39425  ??  R    2288:27.99 /usr/local/sbin/httpd -DNOHTTPACCEPT
39472  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
39476  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
39504  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
48570  ??  I      0:02.29 cron: running job (cron)
48574  ??  Is     0:00.01 /bin/sh /backup/backup_brutos-diario.sh
48592  ??  Is     0:01.56 /usr/sbin/sendmail -FCronDaemon -odi -oem -oi -t
50115  ??  I      0:00.32 cron: running job (cron)
50119  ??  Is     0:00.01 /bin/sh /backup/backup_zeus-diario.sh
50137  ??  Is     0:00.17 /usr/sbin/sendmail -FCronDaemon -odi -oem -oi -t
51047  ??  R    153:31.91 tar -jvcf /backup/zip/brutos.conectlan.net.br-www-201
51425  ??  R    146:30.30 tar -jvcf /backup/zip/zeus.conectlan.net.br-www-20130
51652  ??  S      0:02.77 cron: running job (cron)
51656  ??  Is     0:00.01 /bin/sh /backup/backup_spider-diario.sh
51674  ??  Ss     0:01.45 /usr/sbin/sendmail -FCronDaemon -odi -oem -oi -t
52084  ??  R    135:51.39 tar -jvcf /backup/zip/spider.conectlan.net.br-www-201
59286  ??  S      0:01.82 /usr/local/sbin/smbd -D -s /usr/local/etc/smb.conf
59746  ??  I      0:04.26 /usr/local/sbin/smbd -D -s /usr/local/etc/smb.conf
62325  ??  S      0:01.88 /usr/local/sbin/smbd -D -s /usr/local/etc/smb.conf
63206  ??  S      0:00.24 /usr/local/sbin/httpd -DNOHTTPACCEPT
63343  ??  S      0:00.05 /usr/local/sbin/httpd -DNOHTTPACCEPT
63428  ??  S      0:00.05 /usr/local/sbin/httpd -DNOHTTPACCEPT
63429  ??  I      0:00.05 /usr/local/sbin/httpd -DNOHTTPACCEPT
63430  ??  I      0:00.05 /usr/local/sbin/httpd -DNOHTTPACCEPT
63431  ??  I      0:00.03 /usr/local/sbin/httpd -DNOHTTPACCEPT
63433  ??  I      0:00.01 /usr/local/sbin/httpd -DNOHTTPACCEPT
63434  ??  S      0:00.04 /usr/local/sbin/httpd -DNOHTTPACCEPT
63435  ??  S      0:00.04 /usr/local/sbin/httpd -DNOHTTPACCEPT
63443  ??  Is     0:00.03 sshd: douglas [priv] (sshd)
63457  ??  S      0:02.21 sshd: douglas@pts/0 (sshd)
63483  ??  S      0:00.05 /usr/local/sbin/httpd -DNOHTTPACCEPT
63484  ??  S      0:00.01 /usr/local/sbin/httpd -DNOHTTPACCEPT
63485  ??  S      0:00.01 /usr/local/sbin/httpd -DNOHTTPACCEPT
63490  ??  S      0:00.00 /sbin/init --
63492  ??  S      0:00.01 cron: running job (cron)
63493  ??  Ss     0:00.17 /usr/local/bin/php /public/www/dominios/desenvolvimen
63495  ??  R      0:00.00 ps -ax
 1578  v0  Is+    0:00.01 /usr/libexec/getty Pc ttyv0
 1579  v1  Is+    0:00.01 /usr/libexec/getty Pc ttyv1
 1580  v2  Is+    0:00.01 /usr/libexec/getty Pc ttyv2
 1581  v3  Is+    0:00.01 /usr/libexec/getty Pc ttyv3
 1582  v4  Is+    0:00.01 /usr/libexec/getty Pc ttyv4
 1583  v5  Is+    0:00.01 /usr/libexec/getty Pc ttyv5
 1584  v6  Is+    0:00.01 /usr/libexec/getty Pc ttyv6
 1585  v7  Is+    0:00.01 /usr/libexec/getty Pc ttyv7
63458   0  Is     0:00.01 -sh (sh)
63461   0  I      0:00.01 su
63463   0  I      0:00.06 _su (csh)
63487   0  R+     0:03.91 cp -v -r www www.2542
